Reward: -7.0000, SE: 310.0381, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -7.0000, SE: 219.9256, QoE_volte: 1.0000, QoE_embb: 0.9975, QoE_urllc: 0.0000
Reward: -5.0000, SE: 185.5163, QoE_volte: 1.0000, QoE_embb: 0.9032, QoE_urllc: 0.7187
Reward: -7.0000, SE: 173.6795, QoE_volte: 1.0000, QoE_embb: 0.9953, QoE_urllc: 0.0000
Reward: -5.0000, SE: 87.5090, QoE_volte: 1.0000, QoE_embb: 0.5728, QoE_urllc: 0.0000
Reward: -5.0000, SE: 111.4959, QoE_volte: 1.0000, QoE_embb: 0.8909, QoE_urllc: 0.0000
Reward: 4.0000, SE: 248.6543, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.9901
Reward: 4.0000, SE: 237.9827, QoE_volte: 1.0000, QoE_embb: 0.9962, QoE_urllc: 0.9915
Reward: 0.2404, SE: 311.6322, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.7240
Reward: -7.0000, SE: 217.9007, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.0000
Reward: -5.0000, SE: 181.3373, QoE_volte: 1.0000, QoE_embb: 0.9103, QoE_urllc: 0.9846
Reward: 7.1582, SE: 311.5819, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9723
Reward: -5.0000, SE: 137.2794, QoE_volte: 1.0000, QoE_embb: 0.0235, QoE_urllc: 0.6062
Reward: -3.4456, SE: 464.0235, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.3554
Reward: -7.0000, SE: 331.7383, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.0000
Reward: -5.0000, SE: 185.5173, QoE_volte: 1.0000, QoE_embb: 0.9416, QoE_urllc: 0.0000
Reward: -7.0000, SE: 529.9927, QoE_volte: 0.9959, QoE_embb: 1.0000, QoE_urllc: 0.0000
